03-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Flat Tire, Mechanical Problem, 
04-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Weather Conditions, Other, Heavy Traffic, 
05-02-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Other, Problem Run, Heavy Traffic, 
08-02-2016T00:00:00 - morning , Problem Run, Won`t Start, Late return from Field Trip, 
09-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Mechanical Problem, Heavy Traffic, Problem Run, 
10-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Late return from Field Trip, Won`t Start, 
11-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Won`t Start, Heavy Traffic, Late return from Field Trip, 
12-02-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, 
15-02-2016T00:00:00 - morning , Problem Run, Late return from Field Trip, Flat Tire, 
22-02-2016T00:00:00 - afternoon , Other, Late return from Field Trip, Heavy Traffic, morning , Late return from Field Trip, Heavy Traffic, Mechanical Problem, 
23-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Problem Run, Flat Tire, 
24-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Problem Run, Flat Tire, 
25-02-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Other, Heavy Traffic, Won`t Start, 
26-02-2016T00:00:00 - afternoon , Problem Run, Weather Conditions, Other, afternoon , Other, Heavy Traffic, Problem Run, 
29-02-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Problem Run, 
01-03-2016T00:00:00 - afternoon , Other, Mechanical Problem, Heavy Traffic, morning , Heavy Traffic, Mechanical Problem, Problem Run, 
02-03-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Heavy Traffic, Problem Run, Flat Tire, 
03-03-2016T00:00:00 - afternoon , Other, Heavy Traffic, Problem Run, morning , Won`t Start, Heavy Traffic, Other, 
04-03-2016T00:00:00 - afternoon , Problem Run, Weather Conditions, Other, morning , Heavy Traffic, Problem Run, Mechanical Problem, 
07-03-2016T00:00:00 - morning , Weather Conditions, Problem Run, Mechanical Problem, 
08-03-2016T00:00:00 - morning , Weather Conditions, Problem Run, Mechanical Problem, 
09-03-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Heavy Traffic, Other, Mechanical Problem, 
10-03-2016T00:00:00 - morning , Heavy Traffic, Accident, Other, 
11-03-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, afternoon , Other, Heavy Traffic, Late return from Field Trip, 
14-03-2016T00:00:00 - morning , Heavy Traffic, Won`t Start, Other, 
15-03-2016T00:00:00 - afternoon , Other, Heavy Traffic, Flat Tire, morning , Mechanical Problem, Heavy Traffic, Other, 
16-03-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Flat Tire, Other, 
17-03-2016T00:00:00 - afternoon , Other, Flat Tire, Heavy Traffic, morning , Heavy Traffic, Flat Tire, Mechanical Problem, 
18-03-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, morning , Heavy Traffic, Other, Weather Conditions, 
21-03-2016T00:00:00 - afternoon , Weather Conditions, Other, Mechanical Problem, morning , Weather Conditions, Other, Won`t Start, 
22-03-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Heavy Traffic, Weather Conditions, Late return from Field Trip, 
23-03-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
24-03-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Heavy Traffic, Weather Conditions, Other, 
28-03-2016T00:00:00 - morning , Heavy Traffic, Weather Conditions, Mechanical Problem, 
29-03-2016T00:00:00 - afternoon , Other, Weather Conditions, Heavy Traffic, morning , Weather Conditions, Won`t Start, Heavy Traffic, 
30-03-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Heavy Traffic, Mechanical Problem, 
31-03-2016T00:00:00 - afternoon , Weather Conditions, Other, Heavy Traffic, morning , Weather Conditions, Won`t Start, Heavy Traffic, 
01-04-2016T00:00:00 - morning , Heavy Traffic, Other, Weather Conditions, 
04-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Mechanical Problem, morning , Heavy Traffic, Mechanical Problem, Flat Tire, 
05-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Late return from Field Trip, Won`t Start, 
06-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Other, Mechanical Problem, 
07-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Mechanical Problem, Late return from Field Trip, 
08-04-2016T00:00:00 - afternoon , Other, Problem Run, Heavy Traffic, afternoon , Other, Heavy Traffic, Mechanical Problem, 
11-04-2016T00:00:00 - morning , Heavy Traffic, Mechanical Problem, Won`t Start, 
12-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Won`t Start, morning , Heavy Traffic, Won`t Start, Other, 
13-04-2016T00:00:00 - afternoon , Heavy Traffic, Late return from Field Trip, Other, morning , Late return from Field Trip, Heavy Traffic, Won`t Start, 
14-04-2016T00:00:00 - afternoon , Other, Heavy Traffic, Late return from Field Trip, morning , Heavy Traffic, Other, Late return from Field Trip, 
